=== 2026-04-05T20:17:06-04:00 neuner_vs_alphabeta start cwd=/hpc/home/wjn7/catan_ai ===
=== GPU check ===
GPU 0: NVIDIA RTX 5000 Ada Generation (UUID: GPU-59c4ee0f-b317-ac8a-e75d-67c9e2b77278)
torch 2.10.0+cu128 cuda_available True
NVIDIA RTX 5000 Ada Generation
Effective config:
  preset=none difficulty=medium
  games=1000000 train=True
  placement_strategy=alphabeta
  enemy_fixed_schedule=False
  enemy_smooth_mix=False

Main agent ready      (6,295,286 params, obs=1259, actions=245)
Placement agent ready (alphabeta(depth=2, prunning=True))
Device: cuda
Run configuration:
  Main agent: 6,295,286 params (obs=1259, actions=245)
  Main weights: /hpc/home/wjn7/catan_ai/capstone_agent/models/capstone_model.pt
  Placement agent: strategy=alphabeta, alphabeta(depth=2, prunning=True)
  Placement weights: [none loaded]
  Opponent: alphabeta (depth=2, prunning=True)
  Self-play ladder: disabled
  Map: TOURNAMENT / fixed (seed=0)
  Training: enabled, trigger=steps, every 4096 transitions, periodic_save_every=2000 games, numbered main checkpoint copies
  Replay JSON save: enabled, dir=/hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/replays, every 100 games
  Benchmark CSV: /hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/benchmark_games.csv
  PPO metrics CSV: /hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/ppo_training.csv
  Device: cuda

Game    1/1000000:       LOST  steps=  85  reward=-0.7  [wr300=0.0%(1); by_enemy: - (min_samples=20)]
Game    2/1000000:       LOST  steps= 120  reward=-0.7  [wr300=0.0%(2); by_enemy: - (min_samples=20)]
Game    3/1000000:       LOST  steps=  81  reward=-0.9  [wr300=0.0%(3); by_enemy: - (min_samples=20)]
Game    4/1000000:       LOST  steps=  88  reward=-0.7  [wr300=0.0%(4); by_enemy: - (min_samples=20)]
Game    5/1000000:       LOST  steps=  92  reward=-0.7  [wr300=0.0%(5); by_enemy: - (min_samples=20)]
Game    6/1000000:       LOST  steps= 106  reward=-0.8  [wr300=0.0%(6); by_enemy: - (min_samples=20)]
Game    7/1000000:       LOST  steps=  78  reward=-0.8  [wr300=0.0%(7); by_enemy: - (min_samples=20)]
Game    8/1000000:       LOST  steps=  79  reward=-0.7  [wr300=0.0%(8); by_enemy: - (min_samples=20)]
Game    9/1000000:       LOST  steps=  76  reward=-0.8  [wr300=0.0%(9); by_enemy: - (min_samples=20)]
Game   10/1000000:       LOST  steps= 118  reward=-0.7  [wr300=0.0%(10); by_enemy: - (min_samples=20)]
Game   11/1000000:       LOST  steps=  84  reward=-0.8  [wr300=0.0%(11); by_enemy: - (min_samples=20)]
Game   12/1000000:       LOST  steps=  84  reward=-0.7  [wr300=0.0%(12); by_enemy: - (min_samples=20)]
Game   13/1000000:       LOST  steps=  95  reward=-0.7  [wr300=0.0%(13); by_enemy: - (min_samples=20)]
Game   14/1000000:       LOST  steps=  55  reward=-0.8  [wr300=0.0%(14); by_enemy: - (min_samples=20)]
Game   15/1000000:       LOST  steps=  91  reward=-0.7  [wr300=0.0%(15); by_enemy: - (min_samples=20)]
Game   16/1000000:       LOST  steps=  75  reward=-0.8  [wr300=0.0%(16); by_enemy: - (min_samples=20)]
Game   17/1000000:       LOST  steps= 100  reward=-0.9  [wr300=0.0%(17); by_enemy: - (min_samples=20)]
Game   18/1000000:       LOST  steps=  72  reward=-0.8  [wr300=0.0%(18); by_enemy: - (min_samples=20)]
Game   19/1000000:       LOST  steps= 154  reward=-0.6  [wr300=0.0%(19); by_enemy: - (min_samples=20)]
Game   20/1000000:       LOST  steps=  81  reward=-0.7  [wr300=0.0%(20); by_enemy: alphabeta@2=0.0%(20)]
Game   21/1000000:       LOST  steps= 104  reward=-0.8  [wr300=0.0%(21); by_enemy: alphabeta@2=0.0%(21)]
Game   22/1000000:       LOST  steps=  99  reward=-0.9  [wr300=0.0%(22); by_enemy: alphabeta@2=0.0%(22)]
Game   23/1000000:       LOST  steps= 171  reward=-0.9  [wr300=0.0%(23); by_enemy: alphabeta@2=0.0%(23)]
Game   24/1000000:       LOST  steps= 116  reward=-0.9  [wr300=0.0%(24); by_enemy: alphabeta@2=0.0%(24)]
Game   25/1000000:       LOST  steps= 134  reward=-0.6  [wr300=0.0%(25); by_enemy: alphabeta@2=0.0%(25)]
Game   26/1000000:       LOST  steps=  85  reward=-0.8  [wr300=0.0%(26); by_enemy: alphabeta@2=0.0%(26)]
Game   27/1000000:       LOST  steps= 102  reward=-0.7  [wr300=0.0%(27); by_enemy: alphabeta@2=0.0%(27)]
Game   28/1000000:       LOST  steps=  59  reward=-0.8  [wr300=0.0%(28); by_enemy: alphabeta@2=0.0%(28)]
Game   29/1000000:       LOST  steps= 128  reward=-0.7  [wr300=0.0%(29); by_enemy: alphabeta@2=0.0%(29)]
Game   30/1000000:       LOST  steps=  95  reward=-0.8  [wr300=0.0%(30); by_enemy: alphabeta@2=0.0%(30)]
Game   31/1000000:       LOST  steps= 142  reward=-0.7  [wr300=0.0%(31); by_enemy: alphabeta@2=0.0%(31)]
Game   32/1000000:       LOST  steps=  64  reward=-0.7  [wr300=0.0%(32); by_enemy: alphabeta@2=0.0%(32)]
Game   33/1000000:       LOST  steps= 112  reward=-0.8  [wr300=0.0%(33); by_enemy: alphabeta@2=0.0%(33)]
Game   34/1000000:       LOST  steps=  73  reward=-0.8  [wr300=0.0%(34); by_enemy: alphabeta@2=0.0%(34)]
Game   35/1000000:       LOST  steps= 116  reward=-0.7  [wr300=0.0%(35); by_enemy: alphabeta@2=0.0%(35)]
Game   36/1000000:       LOST  steps=  79  reward=-0.8  [wr300=0.0%(36); by_enemy: alphabeta@2=0.0%(36)]
Game   37/1000000:       LOST  steps=  97  reward=-0.8  [wr300=0.0%(37); by_enemy: alphabeta@2=0.0%(37)]
Game   38/1000000:       LOST  steps= 131  reward=-0.6  [wr300=0.0%(38); by_enemy: alphabeta@2=0.0%(38)]
Game   39/1000000:       LOST  steps= 111  reward=-0.9  [wr300=0.0%(39); by_enemy: alphabeta@2=0.0%(39)]
Game   40/1000000:       LOST  steps=  63  reward=-0.8  [wr300=0.0%(40); by_enemy: alphabeta@2=0.0%(40)]
Game   41/1000000:       LOST  steps= 123  reward=-0.5  [wr300=0.0%(41); by_enemy: alphabeta@2=0.0%(41)]
Game   42/1000000:       LOST  steps= 103  reward=-0.7  [wr300=0.0%(42); by_enemy: alphabeta@2=0.0%(42)]
Game   43/1000000:       LOST  steps= 106  reward=-0.7  [wr300=0.0%(43); by_enemy: alphabeta@2=0.0%(43)]
